Substance	CAS
Formaldehyde (gas)	50-00-0
Phenobarbital	50-06-6
Mitomycin C	50-07-7
Estradiol	50-28-2
"p,p'-DDT"	50-29-3
DDT (Dichlorodiphenyl-trichloroethane)	50-29-3
Benzo[a]pyrene	50-32-8
Thalidomide	50-35-1
Cocaine	50-36-2
Clomiphene citrate	50-41-9
Reserpine	50-55-5
Actinomycin D	50-76-0
Aspirin during the last three months of pregnancy	50-78-2
Fluorouracil	51-21-8
Propylthiouracil	51-52-5
Nitrogen mustard (Mechlorethamine)	51-75-2
Urethane (Ethyl carbamate)	51-79-6
Norethisterone acetate (Norethindrone acetate)	51-98-9
Spironolactone	52-01-7
Tris(1-aziridinyl)phosphine sulfide (Thiotepa)	52-24-4
Codeine phosphate	52-28-8
Penicillamine	52-67-5
Lynestrenol	52-76-6
Haloperidol	52-86-8
Estrone	53-16-7
"Dibenz[a,h]anthracene"	53-70-3
2-Acetylaminofluorene	53-96-3
Nicotine	54-11-5
Aminopterin	54-62-6
Pipobroman	54-91-1
N-Nitrosodiethylamine	55-18-5
"1,4-Butanediol dimethanesulfonate (Busulfan)"	55-98-1
Methylthiouracil	56-04-2
Carbon tetrachloride	56-23-5
Parathion	56-38-2
3-Methylcholanthrene	56-49-5
Diethylstilbestrol (DES)	56-53-1
Benz[a]anthracene	56-55-3
"1,1-Dimethylhydrazine (UDMH)"	57-14-7
Pentobarbital sodium	57-33-0
Diphenylhydantoin (Phenytoin)	57-41-0
Meprobamate	57-53-4
beta-Propiolactone	57-57-8
Ethinylestradiol	57-63-6
Chlordane	57-74-9
Progesterone	57-83-0
"7,12-Dimethylbenz[a]anthracene"	57-97-6
Pyrimethamine	58-14-0
Methyltestosterone	58-18-4
Testosterone cypionate	58-20-8
Testosterone	58-22-0
Chlordiazepoxide	58-25-3
Methotrexate	59-05-2
Acetazolamide	59-66-5
Nitrofurazone	59-87-0
N-Nitrosomorpholine	59-89-2
Levodopa	59-92-7
Phenoxybenzamine	59-96-1
p-Aminoazobenzene	60-09-3
4-Dimethylaminoazobenzene	60-11-7
Acetamide	60-35-5
Tetracycline	60-54-8
Methimazole	60-56-0
Dieldrin	60-57-1
Niridazole	61-57-4
Amitrole	61-82-5
Phenacetin (in analgesic mixtures)	62-44-2
Ethyl methanesulfonate	62-50-0
Aniline	62-53-3
Thioacetamide	62-55-5
Thiourea	62-56-6
DDVP (Dichlorvos)	62-73-7
Sodium fluoroacetate	62-74-8
N-Nitrosodimethylamine	62-75-9
Androstenedione	63-05-8
Carbaryl	63-25-2
Phenoxybenzamine hydrochloride	63-92-3
